id;sifra_postupka;broj_partije;inn;farmaceutski_oblik_lijeka;pakivanje;trazena_kolicina;trazena_jedinaicna_cijena;procijenjena_vrijednost
1;26604;93091;back-end Avon;digital;Fields Pa'anga;70959;13066;35162
2;51593;79387;Pizza;Account Krone back-end;Uzbekistan AGP;33384;71725;48753
3;10131;49262;Baby Developer;Territory;convergence Dynamic Baby;8012;46013;67513
4;76831;23623;Home Metal Granite;Place synthesizing;Avon experiences;63106;84351;95329
5;108;76825;De-engineered;framework Forest orchid;Towels deposit Beauty;82976;66728;45744
6;52631;97348;circuit;magenta;cyan Implementation Buckinghamshire;67604;66475;30832
7;23664;81680;Pula deliver;monetize transmitting Pizza;Balanced;10531;43888;37579
8;48024;44156;Causeway override;Gardens tan Account;Soft Account;82778;79788;59685
9;79547;8531;Meadows Electronics violet;Account Architect;Metrics Reduced networks;92469;47660;47363
10;42916;47635;microchip optimizing;wireless Account Enterprise-wide;Rubber;59902;83917;68935
