id;sifra_postupka;sifra_ponude;broj_partije;naziv_ponudjaca;nazi_proizvodjaca;zastceni_naziv;ponudjena_vrijednost;ponudjena_jedinicna_cijena;rok_isporuke
1;77033;65484;74446;withdrawal Fully-configurable;Group;Ergonomic mobile engage;82343;5965;50061
2;86351;52266;13619;Saint Right-sized;Program Account Fresh;Mayotte;75152;37441;19296
3;52733;52816;13457;clicks-and-mortar;program;Implementation Trace Borders;35789;1774;42870
4;17219;16430;91004;Cedi;Turnpike Markets functionalities;Generic intangible Generic;32516;39377;85898
5;47042;57921;38863;interfaces invoice;neural Customizable;Delaware online Concrete;52167;9147;97019
6;41224;30567;93391;Illinois Montana;Intranet Austria;Licensed Tools;59385;87052;15656
7;1234;47320;21886;intangible attitude;Infrastructure turquoise;disintermediate El;27573;7957;26156
8;89210;12281;59516;Usability Car parse;aggregate Garden;Metal Incredible Cambridgeshire;31175;79435;65008
9;71319;73131;41548;Home invoice Ergonomic;Human instruction maroon;silver Car;41189;82590;21053
10;71509;64774;29326;task-force synergistic drive;Electronics;transmitter unleash generating;26679;77307;34108
