id;sifra_postupka;sifra_ponude;broj_partije;atc;inn;zastceni_naziv;farmaceutski_oblik_lijeka;jacina_lijeka;pakovanje;trazena_kolicina;trazena_jedinicna_cijena;procijenjena_vrijednost;ponudjena_jedinicna_cijena;ponudjena_vrijednost;rok_isporuke;naziv_ponudjaca;bod_isporuka;broj_ugovora;datum_ugovora
1;43654;51371;37647;Plastic Legacy;engage;reboot;bypassing Tasty;Gourde Lead Account;vortals mobile invoice;18514;24836;19648;33380;1475;78373;Bulgaria Granite;43671;Fresh;2021-04-22
2;14523;42886;51395;Wisconsin;South;software invoice infomediaries;Customer parsing;transition neural;bypassing;77276;71352;56593;14966;34990;34497;Concrete Utah;7382;Engineer;2021-04-21
3;2697;22939;44770;Brand;Metrics Small;Team-oriented Soft Handcrafted;SQL Specialist Cotton;Multi-lateral 4th;payment Branding navigate;79757;801;72021;99551;28673;69656;Fresh Checking;65599;Skyway panel innovative;2021-04-22
4;8334;12009;14661;yellow;capability;moratorium Mills;Cambridgeshire;tolerance GB deliver;Music;39012;37751;53247;75600;98137;27947;Minnesota;33280;open-source Kids Buckinghamshire;2021-04-21
5;63928;57167;1418;Director;payment initiatives;deposit benchmark;Representative facilitate;Plastic Strategist;cutting-edge;4531;6487;93262;96404;45871;73505;solid;16815;web Games;2021-04-22
6;15511;43543;1285;Phased National;Leu Incredible Alaska;New Handcrafted;SQL;Lead;Beauty;79789;15489;30159;53317;47475;89492;SSL;15811;Tactics array;2021-04-22
7;42955;2827;2437;input Delaware Incredible;Plastic;neural;generate;asynchronous;white;94112;69388;63262;12292;93584;74479;Response Uganda;16199;Customer;2021-04-21
8;31440;97682;68327;violet transitional Steel;Car Louisiana;Bedfordshire;Towels;parse;Pataca JBOD intelligence;72499;36369;87078;2709;86221;65717;improvement;50102;Bulgaria Berkshire Pants;2021-04-22
9;94599;96785;16566;port;website;client-server tan Principal;olive;Saudi Belgium;navigating;13332;56374;97288;18545;35497;51087;Open-source Steel;60468;AGP parsing systems;2021-04-22
10;29645;26605;34071;application (EURCO) Developer;Radial Fantastic;Montana;navigating quantifying;District;up Loan;21524;33813;49300;91589;88086;22935;microchip Berkshire;13983;Industrial PCI;2021-04-22
