id;sifra_postupka;broj_partije;atc;inn;farmaceutski_oblik_lijeka;jacina_lijeka;kolicina;pakovanje;procijenjena_vrijednost
1;59552;67458;Generic Antigua web-readiness;panel Creative monitor;Auto;Mobility schemas Integration;69839;Developer Grove Borders;43938
2;130;25602;Garden Future synthesizing;navigating;hack Bike;synergy;70208;application;44005
3;12512;83202;Steel;wireless Yemeni;Plastic solution-oriented Lilangeni;conglomeration Ohio;38508;SSL Fundamental;45928
4;41805;59423;Incredible Tactics connect;facilitate;value-added;Tools payment Fundamental;75657;Fresh;62137
5;70353;87975;Berkshire applications enable;empower Account;reintermediate iterate;Fundamental programming;54327;Incredible synthesizing;89043
6;70106;71069;infrastructures up Books;Tuna metrics;matrices empowering;Chips;55272;RSS Sausages;67754
7;61454;90878;open-source European Dynamic;encoding Tunisia;Security Card Taka;e-commerce;17854;Fantastic Account;94048
8;93274;78239;Mouse Account indexing;fresh-thinking B2B Forest;TCP;directional;60419;Right-sized;76112
9;26037;9619;Account;supply-chains;red users Public-key;programming Tennessee;90389;Fantastic stable;36453
10;77879;9316;Outdoors Mobility deposit;CSS blue;best-of-breed feed forecast;GB;54271;Trafficway paradigms Cross-platform;66865
