id;sifra_postupka;sifra_ponude;broj_partije;naziv_ponudjaca;procijenjena_vrijednost;ponudjena_vrijednost;kolicina;atc;inn;zastceni_naziv;farmaceutski_oblik_lijeka;jacina_lijeka;pakovanje;bod_isporuka;rok_isporuke;bod_cijena;bod_ukupno
1;39290;38437;39033;Mountain;25494;92877;66786;International;Outdoors holistic;Tasty Administrator;Baby;Intranet e-services;District scale;96609;48529;88536;29546
2;13577;86641;39353;User-friendly Cheese;57486;39649;16281;Outdoors one-to-one drive;Awesome strategic optical;Chicken virtual e-services;visualize deliver Islands;reintermediate;calculating Industrial index;32589;70465;20642;14713
3;15038;80900;59557;invoice Architect SSL;66879;29356;5615;transmitting Accountability Handcrafted;motivating orange;convergence;Checking Markets Games;Architect;protocol Coordinator;17611;12783;23544;26599
4;30867;5857;41157;exploit;18620;10878;92336;Cotton drive Creek;Virginia navigate Fish;wireless;bricks-and-clicks alarm;Cambridgeshire Club;Refined;93251;77008;25108;93216
5;31542;65778;67558;purple;21784;15672;93072;Specialist quantify ubiquitous;Outdoors Optimized;leverage invoice;plum Engineer;Hat Customer engage;Interactions needs-based Tala;83462;34796;14423;24918
6;75231;71324;33021;Customizable;76436;74499;72393;generating Handcrafted;Port Cambridgeshire hard;purple analyzer Dollar;Soft Director Gorgeous;intangible Assurance migration;Oklahoma partnerships;45652;31788;63430;16477
7;27578;18947;50449;Infrastructure;65427;99768;1542;Lead Fresh Awesome;Metal quantifying;Berkshire protocol;Beauty Car salmon;Oklahoma;Configuration web-readiness;12395;50106;43052;42688
8;5426;56132;72463;Eritrea Unbranded HTTP;21647;71622;14293;withdrawal;Cotton Fresh Supervisor;portals Unbranded Grass-roots;Producer;Rustic;Account;5700;70314;91404;77095
9;27019;81916;47642;programming state;36733;61972;78463;Illinois Avon Buckinghamshire;Antillian Account;Producer;Account Loan connect;web-enabled;firewall invoice Orchestrator;88077;14887;47996;29380
10;10083;73267;6359;eyeballs;13431;46942;18287;Table Alley Home;Sports help-desk Congo;multi-byte Strategist;Borders ADP AI;firewall;Row bypassing XSS;73207;21101;55211;27901
